"test_case_id","run_id","model_version","change_type","item_name","change_description","context_provided","llm_decision","llm_confidence","ground_truth","is_correct"
"T-19","1","v2","price","Lobster Roll","Price: 18.00 -> 27.00 (50% increase above last verified 18.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.92","reject","TRUE"
"T-19","2","v2","price","Lobster Roll","Price: 18.00 -> 27.00 (50% increase above last verified 18.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.89","reject","TRUE"
"T-19","3","v2","price","Lobster Roll","Price: 18.00 -> 27.00 (50% increase above last verified 18.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.94","reject","TRUE"
"T-19","4","v2","price","Lobster Roll","Price: 18.00 -> 27.00 (50% increase above last verified 18.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.91","reject","TRUE"
"T-19","5","v2","price","Lobster Roll","Price: 18.00 -> 27.00 (50% increase above last verified 18.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.90","reject","TRUE"
"T-20","1","v2","description","Classic Burger","Description: 'Beef burger with cheese' -> 'Dry-aged wagyu beef burger with truffle aioli'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No sourcing or premium ingredient certifications on file for this restaurant.","reject","0.65","reject","TRUE"
"T-20","2","v2","description","Classic Burger","Description: 'Beef burger with cheese' -> 'Dry-aged wagyu beef burger with truffle aioli'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No sourcing or premium ingredient certifications on file for this restaurant.","reject","0.62","reject","TRUE"
"T-20","3","v2","description","Classic Burger","Description: 'Beef burger with cheese' -> 'Dry-aged wagyu beef burger with truffle aioli'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No sourcing or premium ingredient certifications on file for this restaurant.","reject","0.68","reject","TRUE"
"T-20","4","v2","description","Classic Burger","Description: 'Beef burger with cheese' -> 'Dry-aged wagyu beef burger with truffle aioli'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No sourcing or premium ingredient certifications on file for this restaurant.","approve","0.42","reject","FALSE"
"T-20","5","v2","description","Classic Burger","Description: 'Beef burger with cheese' -> 'Dry-aged wagyu beef burger with truffle aioli'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No sourcing or premium ingredient certifications on file for this restaurant.","reject","0.64","reject","TRUE"
